ISBN,Price
0002551322,$90.25
0006411843,$350.00
0006970117,$159.00
0007492898,$9.65
0007922736,$69.02
0008291942,$29.76
0008304602,$14.22
0021349711,$98.00
0021384002,$35.84
0021999015,$5.29
0022447229,$3.03
0023614714,$42.95
0023674121,$99.00
0023984155,$14.00
0024035505,$118.00
0024149705,$109.93
0024308218,$18.93
0025174703,$149.90
0026759500,$18.61
0060938293,$12.00
0061110124,$20.60
0061125865,$40.79
0061137456,$11.49
0061176109,$19.95
0061432695,$10.21
0061472808,$19.56
